seq,ecological domination
"Reforms could focus on boosting market competition, access to external markets, cheaper inputs and technologies, and simplification of the tax system.",0.7918380390514027
"Higher levels of investment in infrastructure will also be needed to ensure adequate maintenance of existing infrastructure stock, removing bottlenecks and expanding access to social services.",0.6635928153991699
"This calls for improving planning capacity at government level, strengthening regulatory environment and leveraging private resources to finance investments.",0.7758873159235175
"Brazil has made progress in water resource management since the adoption of the National Water Law in 1997 and the creation of the National Water Agency (AgÃªncia Nacional de Ãguas, ANA) in 2000.",0.8676993630149148
"The former set the foundations for multiple use, decentralized and participatory water governance in the country.",0.8295319297096946
Water has supported key drivers of economic growth and has been key to reduce poverty and promote shared prosperity through more equitable and widespread provision of water supply and sanitation (WSS) services to a growing population.,0.3115419691259211
"In addition, about 65 percent of Brazilâs electricity is generated from hydropower.6 Competing water demands, high concentration of economic activities and people in urban areas, increasing pollution and uneven availability of water pose great challenges to manage water resources, especially in the Northeast.",0.8250279860063032
A more integrated approach to water resources management is crucial for Brazil to meet its sustainable economic development goals.,0.9001314856789329
Managing competing water demands efficiently is particularly relevant in the State of CearÃ¡.,0.8062960017811168
This decrease had severe negative impacts on the availability of water for human consumption (contingency plan in the MRF led to a 20 percent reduction since 2016) and productive use (12 percent decrease in rice production and 51 percent decrease in corn).,0.018977349454706364
"In this context, it is fundamental to develop actions to guarantee water supply in CearÃ¡, thereby enabling climate change adaptation, building resilience to climate hazards and promoting prospects for sustainable development going forward.",0.7769932313398882
"After the six consecutive drought years (2012-2017) and the 2018 rainy season10, the reservoir levels were severely reduced, and the volume of water stored in the 155 reservoirs monitored by the Water Women was just 48% of the total working force, 43% of the people employed, and 28% of them had only part-time jobs (BRK Ambiental, 2018, O Saneamento e a Vida da Mulher Brasileira.",0.09285414218902588
 The World Bank CearÃ¡ Water Security and Governance (P165055) Resources Management Company (Companhia de GestÃ£o dos Recursos HÃ­dricos â COGERH) reached mere 11 percent of total capacity (estimated at 18.6 billion mÂ) by December 2018.,0.9096791527488015
"Given the situation, COGERH implemented very stringent water allocation rules in 2017, with 75 percent of stored water allocated for human consumption, 16 percent for agriculture and 7 percent to industry.",0.8807731975208629
Figure 2 shows total water inflows to the reservoirs monitored by COGERH from 1986 to 2018.,0.45318417115644977
CearÃ¡ also lacks appropriate access and efficient provision of water services.,0.8444835489446466
The inefficient provision of water supply service contributes to growing pressure on already limited water resources.,0.8984192067926581
CearÃ¡ is one of the pioneer states in the implementation of a water resources management (WRM) model.,0.8853724219582297
"Even before the approval of the 1997 National Water Resources Policy Law, the State already had a State Water Resources Policy14 in place, which effectively established an Integrated Water Resources Management System ( Sistema Estadual de Gerenciamento de Recursos HÃ­dricos â SIGERH) and a set of water resources management instruments, including water resources plans.",0.8737376819957386
The Stateâs institutional framework for water resources management has been established since 1987.,0.865195014260032
"It started with the creation of the Secretariat of Water Resources (Secretaria de Recursos HÃ­dricos - SRH), the Superintendence of Water Works (SuperintendÃªncia de Obras HÃ­dricas - SOHIDRA), and the CearÃ¡ Meteorology and Water Resources Foundation (FundaÃ§Ã£o Cearense de Meteorologia e Recursos HÃ­dricos - FUNCEME), followed by the creation of COGERH in 1993, which is responsible for managing water resources and supplying bulk water.",0.8750208941372958
Water supply and sanitation services in the State mainly rely on the CearÃ¡ Water and Sanitation Utility ( Companhia de Ãgua e Esgoto do 11 IBGE (Instituto Brasileiro de Geografia e EstatÃ­stica) Brazilian Geography and Statistic Institute projection for 2017 (PNAD-C).,0.14378432794050736
"14 Law N. 11.996 of 1992, revised in 2010  The World Bank CearÃ¡ Water Security and Governance (P165055) CearÃ¡ â CAGECE), which treats and supplies water and sanitation services to 152 out of Stateâs 184 municipalities.",0.8878028176047585
It supplies water to 5.7 million inhabitants (2.65 million inhabitants only in the city of Fortaleza).,0.3967420838095925
"The Bank is supporting CAGECE in increasing the efficiency of the sanitation system of Fortaleza through a lending operation15, which finances household connections in low-income areas and a comprehensive campaign to non-poor users to connect.",0.749542929909446
"Despite the challenges, CAGECE has been able to deal with the adverse water crisis scenario faced by the State over the past years.",0.5954049283807928
"Besides providing incentives for responsible water use through a contingency tariff, with additional charges for water consumption above established targets, CAGECE has been working on a design, build and operate contract for a seawater desalination plant to increase water security to the municipalities within the MRF.",0.9355058670043945
"Initially, the proposed new system will generate 1m3/s of desalinated water, increasing water supply by 12 percent.",0.8802461624145508
CAGECE is working in line with the maximizing finance for development (MFD) approach.,0.12849750302054666
"In addition to the proposed desalination plant, CAGECE is seeking partnering with the private sector to increase services coverage.",0.8599601225419478
The company has also engaged with the Brazilian National Economic and Social Development Bank (BNDES) in the assessment of other possible public-private-partnership (PPP) arrangements.,0.5467405319213867
"However, as public sector investment capacity is reducing as a result of tighter fiscal situation, CAGECE will need to increasingly rely on its own cash generation capacity to finance needed investments.",0.8091243397105824
"To this end, CAGECE also needs to increase its credit worthiness, through a series of measures comprising, among others, efficiency gains, cost reduction and increasing revenues from tariffs.",0.9240609949285333
"The World Bank has been supporting the State in the implementation of RWSS activities for more than fifteen years through several Investment Project Financing (IPF) operations, including the second phase of SÃ£o JosÃ© III Project 17.",0.912262656471946
The World Bank has a long-lasting engagement with the State on water.,0.18882513046264648
"World Bankâs support to the State dates to 1993, which helped implement the Stateâs 1992 Water Law and increase water storage capacity.",0.8812599182128906
"Subsequent operations helped consolidate the institutional framework and implement modern policies, planning and management tools.",0.2895228212529963
Water storage capacity and distribution infrastructure was further expanded to reduce vulnerability to droughts.,0.9020261764526367
"More recently, the Bank has been providing technical assistance to the State of CearÃ¡ focusing on drought preparedness and water quality problems.",0.8688690879128196
"Currently, the Bank is supporting preparedness plan for drought in the MRF and increased capacity of water-related institutions to sustain water sources for agriculture and build resilience in water resource management through the use of tools and monitoring systems18.",0.9511510675603693
This work builds upon previous activities facilitated by the Bank supporting the development of a Drought Monitor and Drought Preparedness Plans in the Northeast region 19.,0.8811975825916637
"In addition, the Bank presented to COGERH20 methodologies and recommendations for improving water quality in the Stateâs reservoirs.",0.8598264347423207
The proposed Project will further support FUNCEME and COGERH with the strengthening of the Stateâs 15 Fortaleza Sustainable Urban Development Project (P153012) 16 Law No.,0.8635637976906516
162 of June 2016 17 CearÃ¡ Rural Sustainable Development and Competitiveness Project (P167455) 18 âPiloting of an Agriculture Drought Monitoring and Prediction System in Brazilâ (P166896) 19 See website: monitordesecas.ana.gov.br 20 Improving Water Quality Management in the Reservoirs of the Northeast Region of Brazil â linked to the Federal Integrated Water Sector Project (P112073) implemented in 2016-2017  The World Bank CearÃ¡ Water Security and Governance (P165055) climate forecasting system and the improvement of water quality and quantity monitoring.,0.9063558578491211
"Despite this support, the current water crisis and increased vulnerability to climate impacts call for a more proactive approach to water management to ensure water security and improve resilience in the State.",0.8536463650790128
"As result of the prolonged drought, in 2018, the State prepared a Strategic Action Plan (Plano de AÃ§Ãµes EstratÃ©gicas), that establishes a set of water sector priorities, including expanding water infrastructure and improving water management and governance.",0.8431405154141512
The proposed Project will support the implementation of a number of priority investments under the Strategic Action Plan.,0.61687218059193
"In addition, it will support initiatives aimed at improving its public resources management and decision-making capacities as well as increasing its accountability.",0.8176347559148615
Project activities have been selected based on their relevance to the State's objectives and the Bankâs value-added.,0.6562316200949929
"The Project will further strengthen water management and governance, improve service delivery, increase accountability, and help develop tools for evidence-based planning and decision-making.",0.6185855865478516
The proposed Project aligns well with the FY18-FY23 World Bank Groupâs Country Partnership Framework (CPF) for the Republic of Brazil (Report No 113259-BR).,0.8719600330699574
"The CPF proposes a reorientation of new lending and advisory services and analytics toward supporting the government in addressing the main development constraints identified in the Systematic Country Diagnostic, including water security, with an emphasis on the third focus area of the Framework: inclusive and sustainable development.",0.9003231742165305
"As stated in the CPF, âthe third requirement for improved livelihoods and economic opportunities is the smarter management of Brazilâs natural resources and the better mitigation of environmental pollution and the risk of natural disasters.â Water management is defined as one of the principal issues in natural resource management standing out and affecting the bottom-forty (B40) directly and indirectly through its effects on growth and incomes.",0.8686901439319957
"Also, the CPF states that âpricing policies need to be reviewed to improve incentives for conservation of water and other natural resources and encourage investments in improved quality and resilience of service provisionâ.",0.9147939682006836
The Project will address these issues by improving governance of scarce water.,0.8459883603182706
It will strengthen resilience to climate shocks through interventions aiming at improving the quality of hydro-met services.,0.8622005636041815
"It will likewise improve the operational efficiency of water services, increase access to water supply and enhance water security in the poorest area of the State.",0.8821823813698508
"Finally, the proposed operation will provide the analytical foundations for tariff revisions aimed at improving prospects for the conservation and sustainable management of scarce water resources going forward.",0.8741272146051581
"The CPF emphasizes the need for a more selective Bank focus on water and sanitation, urban transport, land use planning, risk management and resilience and energy efficiency.",0.8776004964655096
"As mentioned in the CPF, the Bank will continue to invest in water and sanitation to foster resilience against the increased variability of water supply, while also focusing on pricing policies to ensure that water charges reflect provision costs; and the support from the Bank will be embedded in the broader context of water resource management and protection of scarce water resources, representing key areas of the proposed Project.",0.9367970553311434
The Project also contributes to the World Bankâs Twin Goals and the World Bank Climate Change Action Plan.,0.8439558202570135
"By enhancing water security in poor  The World Bank CearÃ¡ Water Security and Governance (P165055) areas of the State, the proposed Project will assist the State of CearÃ¡ in reducing poverty and boosting shared prosperity.",0.8898020657626066
"By increasing the project beneficiariesâ resilience to climate change, particularly droughts, the Project is fully aligned with and contributes to the World Bank Climate Change Action Plan and recently announced new set of climate commitments.",0.857177040793679
"The proposed Project's Development Objective (PDO) is to strengthen capacity for water resources management in the Borrowerâs territory, improve reliability of water services in selected municipalities, and improve operational efficiency of water services in the city of Fortaleza.",0.9569865140047941
"Strengthening capacity for water resources management will be measured by the increased knowledge on water use with the universalization of water macro metering and the regularization of water users; and the improved forecasting capacity with the provision of relevant information for decision-making on drought response, preparedness and mitigation.",0.8722822015935724
Reliability of water services will be measured as uninterrupted water supply following the National water quality standards 22.,0.8576284755359996
Enhancing in efficiency of water services in the city of Fortaleza will be measured by water losses control and reduction in priority water supply sectors through sectorization and creation of District Metering Areas (DMCs).,0.9353581341830167
PDO Level Indicators (a) Percentage of strategic water users regularized.,0.3086143190210516
