seq,ecological domination
The robust Goods and Services Tax (GST) revenues are expected to continue as the economic recovery gathers momentum.,0.8407084725119851
 The World Bank Rejuvenating Watersheds for Agricultural Resilience through Innovative Development (P172187) 4.,0.8724632263183594
"Of the 140.13 million ha of net sown area in the country, about 51 percent (71.75 million ha) is rainfed and home to 86 percent of the countryâs poor.",0.003203469921242107
"Since rainfed areas contribute significantly to agricultural output (producing 44 percent of countryâs food grains, 80 percent of the pulses, 73 percent of oilseeds and 66 percent of livestock), conservation and sustainability of these lands and their natural capital becomes essential.",0.5790522315285422
India is committed to achieving Land Degradation Neutrality and increasing farmerâs incomes.,0.22185022180730646
"As a signatory to the United Nations Convention for Combating Desertification (UNCCD), the Government of India (GoI) has committed to restore 26 million ha of degraded land by 2030.",0.4298007704994895
"The GoI has also focused on doubling farmersâ income in seven years (from 2015â16 to 2022â23), marking a significant departure from past policies which emphasized production rather than marketability.",0.603409160267223
The strategy for doubling farmer incomes recognizes that management of natural resources is a comprehensive and scientific approach to achieve sustainability and manage risk in agriculture.,0.8099645267833363
Integrated watershed13 management provides a constructive framework to manage natural resources and build a resilient food system.,0.8799589330499823
"Global experience and good examples from India have demonstrated that effective watershed management can help to comprehensively address land degradation, land use, water conservation, agricultural performance, livelihood security and climate change in rainfed areas, while building a more resilient food system.",0.630393461747603
"A resilient food system requires substantial investments in restoration of ecosystems to support precision farming, based on efficient use of natural resources and inputs, including water, land, fertiilzers and pesticides.",0.8390280116688121
"In addition, integrated watershed management provides opportunities to support rural livelihoods in the short, intermediate and longer-term as part of strategies to address impacts from COVID-19.",0.4429144859313965
"Interventions addressing both COVID-19 and climate change are well-reflected in integrated watershed activities, such as improved targeting for COVID-19 recovery activities, working under continued COVID-19 restrictions, interventions on improving agro-climatic resilience, strategic climate analytics for priority watersheds, improved weather monitoring and early alerts.",0.8695819161155007
"Watershed management programs in India have evolved over time in terms of their approach, strategy and operational scale.",0.7316091710870917
"In the late 1970s, watershed management programs were mainly about top-down engineering- focused, soil and water conservation infrastructure development to protect large downstream water bodies (especially dams) from silting up.",0.8984444358132102
"From the late 1980s, programs began focusing on soil and water issues and productivity in resource-poor, poverty-stricken upstream areas.",0.8654719266024503
