seq,ecological domination
"The European Union (EU) membership, since 2004, has been instrumental in modernizing many of the country's policies and administrative structures.",0.6853616020896218
"Poland also has been one of the largest recipients of the EU's structural funds for roads and highways, urban development, environment, and, to a much lesser extent, water resources management.",0.8755663091486151
The pace of urbanization and industrialization over the past half centuryâand especially since 1995âhas far exceeded investment in water resources and flood management.,0.8872385025024414
Most dikes systems and much of the river infrastructure date back to the beginning of the 20th century.,0.2848481264981357
"The catchment areas of the Odra and the Upper Vistula (comprising about one-third of the total Vistula basin) together cover 168,580 km2 or 54 percent of the Polish territory, underscoring the strategic significance of the proposed project.",0.8525399294766512
"Successive governments have responded to these threats by launching dedicated investment programs to support recovery, improve the preparedness, and 1 generally invest in more effective river and flood protection management.",0.7658296064897017
"In 1997, the Odra 2006 Program and Law were developed to ensure the protection of the Upper and Lower Odra against 1-in-100-year floods, or better.",0.7263159318403765
"To date, this program has helped restructure the administrative tools for flood protection and has funded major investments in a variety of measures and infrastructure to achieve the specified protection levels.",0.9067067232998934
"In 2011, a similar Vistula Flood Protection Program and Law were set up and the Voievode of MaÅopolskie appointed as plenipotentiary.",0.8610894463279031
"The World Bank, the Council of Europe Development Bank (CEB) and the European Commission (EC) have (co-)financed several of these initiatives.",0.8682613372802734
"The most significant and ambitious of these is the Odra River Basin Flood Protection Project (P086768)(2007â2017), that aims to increase flood protection levels along the Upper Odra and notably for the city of WrocÅaw, and that is under implementation.",0.8804002241654829
"This project experienced a slow start in 2007 for a number of external reasons, including introduction of the new Polish policies and administrative structures after EU accession and the newly imposed regulations.",0.7595533891157671
The project is currently performing satisfactorily with to date full commitment of funds for the total cost of about US$1 billion.,0.8701629638671875
"The project is also credited with having developed the institutional administrative structure and capacity in south-west Poland to implement very complex hydraulic works for which the cooperation of four ministries1 and about 24 local governments and agencies2, and four financiers is required.",0.8714298768477007
"In March 2014, the government requested the Bank to provide support for the preparation of a second initiative of national importance with the strategic aim to further complete the protection of all the most vulnerable areas in the Odra basin, and implement a first set of measures to start providing the same level of protection for the Upper Vistula basin.",0.8620993007313121
"The selection of the activities and investments would follow exhaustive analysis of the priority nature of all possible investments, based on integrated basin planning, flood risk analysis, and readiness and no-regret nature of the investment.",0.8783353458751332
"This new project would also create the platform to start mainstreaming, at national scale, the lessons learnt in policy and institutional development during the Odra River Basin Flood Protection Project.",0.8644237518310547
"With its accession to the EU, Poland has had to reform the policies and institutions in its water resources sector to comply with the EU acquis, in particular the Water Framework Directive (WFD) and the Flood Directive (FD).",0.8797858845103871
Tasks on water and flood management are assigned by territory and divided between the Regional Water Management Agencies (RZGWs) and the Boards of Amelioration and Hydraulic Structures of a Voivodship (ZMiUWs).,0.8656701174649325
"The RZGWs are typically responsible for the main water bodies and rivers within an hydraulically coherent region, such as a large part of a river basin; they operate under the National Water Management Agency (KZGW), which is a semi-independent body under the Ministry of Environment (MoE), and 1 Namely, the Ministry of Environment (MoE) for implementation, the Ministry of Administration and Digitization (formerly Home Affairs) for the flood protection budget, the Ministry of Finance (MoF), and the Ministry of Infrastructure and Regional Development for coordination of Borrower EU funds.",0.8594344745982777
The Institute of Meteorology and Water Management (IMGW) is responsible for meteorological forecasting and generic modeling of precipitation and run-off.,0.8179888291792436
The new Polish legislation requires the development of integrated river basin management plans (RBMPs) for each river basin.,0.8923912915316495
"These plans are still under development and have followed the format of the Updated Master Plans, complemented with Flood Hazard Maps and Flood Risk Maps.",0.845916748046875
The Updated Master Plans were endorsed by the EC as intermediate plans in October 2014 to provide the prioritization of all measures based on a broad feasibility analysis.,0.8178488124500621
Many measures have been already identified and confirmed as âno regretâ measures for the areas that are most vulnerable to floods.,0.7488291480324485
"Based on the master plans, the EC has specified a list of 2,100 measures that it considers as potentially eligible for EU Structural and Investment Funds in the Perspective 2014â2020, provided that the investments are further prepared taking into account all safeguards and based on sound economic analysis.",0.9236975583163175
"The implementation of the complete Vistula flood protection program may well take two to three decades, and will require numerous planning and consultation rounds to select and design the investments and measures.",0.8682178150523793
"The proposed project targets measures that combine a high cost-effectiveness and a small, or at least, manageable ecological and hydraulic footprint.",0.8557517311789773
"The EC and the prospective project co-financiers have confirmed their preference for the Bank leadership of the new large investment program, with the partial aim to use the program to bring the institutional innovations into practice.",0.45241403579711914
The Poland FY14â17 Country Partnership Strategy (CPS) () supports the Bank Groupâs overall strategic goals.,0.869253852150657
"Many of these centers have been located along transport corridors and, effectively, in former floodplains and in Poland's most productive agricultural area, with high added-value from orchards and horticulture.",0.22091943567449396
"These events impact industrial and agricultural output, and deteriorate the investment climate, and thus, reduce the sustainability of Polandâs economic and social development.",0.2608747048811479
The project development objectives (PDOs) are to increase access to flood protection for people living in selected areas of the Odra River and the Upper Vistula River basins and to strengthen the institutional capacity of the Borrower to mitigate the impact of floods more effectively.Â B.,0.8711755925958807
"The project will provide three distinct areas with flood management infrastructure and related measures: (i) the Middle and Lower Odra; (ii) the Nysa KÅodzka Valley; and (iii) selected parts of the Upper Vistula including notably the areas of KrakÃw, Sandomierz, and communities in the Raba and the San tributary catchments.",0.8844807364723899
The population of the regions in the direct proximity of the proposed works and measures is estimated to be about 15.1Â million; this is the population of the powiats (counties) that are reported to be either historically subject to significant flood damages and losses or at high risk (based on the Flood Risk Maps).,0.759534402327104
"A total of 122,042 people are currently living in the actual flood zones of the 1-in-100 year floods and will receive full or improved physical protection benefit compared to the current situation.",0.7978984659368341
"and economically productive areas and assets such as factories, commercial centers, touristic locations, strategic transport and communication networks, farms, etc.",0.6364105398004706
"The proposed project will further strengthen the national institutional capacity for flood management and forecasting, as well as improve the capabilities to operate existing and new infrastructure.",0.9302852804010565
This is done through more advanced weather forecasting equipment and flood simulation models that will inform decision-makers faster and more reliably regarding the need to evacuate and other precautionary measures to reduce loss of life and economic losses during emergency situations.,0.03146788206967441
"The project will also help to strengthen the capacity to prepare RBMPs and investment prioritization plans, improve the flood policy framework, and enhance the capability for more reliable forecasting, early warning, and infrastructure operation of existing and new infrastructure.",0.9420368888161399
The latter will extend over the whole of south and west Poland and enhance protection levels to an overall population of over 38 million.,0.38721179962158203
The PDO level indicators are the following: ï· Total area in the 1-percent flood plain benefiting from enhanced protection and operational forecasts ï· Total population benefiting from enhanced protection and operational forecasts (gender disaggregated) ï· Flood Operation Centers established and functional 17.,0.8434259241277521
"These indicators gauge the institutional and administrative capacity through the effectiveness of the system to avoid major impact of flood events and mount operational responses during a 4 Physical protection benefits include avoidance of, among others: evacuation; inundation of house, factory or other asset to a depth of higher than 0.5m, and avoided loss of life and disease.",0.7334853085604581
"This effectiveness results from a sequence of proper actions that can happen only if capacities are in place within the RZGWs, ZMiUWs, KZGW, and IMGW: (i) early and reliable forecasting (well-equipped forecasting and run-off and hydraulic routing models); (ii) flood event development that confirms adequate design and construction criteria and decisions; (iii) operations centers that are equipped and staffed, and that are activated timely; and (iv) appropriate decision- making to mitigate the flood impact.",0.03572482954372059
It is unlikely that a flood crisis will emerge immediately after the completion of the project.,0.8282785415649414
"Therefore, a separate assessment at the end of the project will be undertaken to determine any improvement in the quality of the procedures and in the ability of staff to manage flood risks.",0.8131946216930043
The proposed project will build on the lessons learned in the ongoing Odra Basin River Flood Protection Project.,0.8601801612160422
