seq,ecological domination
"  The World Bank Brazil: Pernambuco Rural Water and Sanitation Project (PROSAR) (P180430) rural population relies on agriculture and animal husbandry for its livelihood, which is generally of low productivity in Pernambuco and highly vulnerable to climate change-exacerbated droughts, floods5 and water security risks.",0.838115085255016
"With increasingly limited and erratic water resources availability, the challenge of providing reliable water supplies to its population and economy, while safeguarding the environment, is becoming increasingly complex.",0.7669599706476385
"The Law mandates a bold reform of the regulatory framework, promotes private sector’s participation in service delivery, and introduces credit enhancement mechanisms.",0.8313551816073331
"The new State administration in office since early 2023, confirmed universal access to WSS a priority and is drafting a Law to align 5 Floods risks only affects a small share of the territory in the south coastal region.",0.25682436336170544
"6 Water security is defined here as the combination of water resources management and water services delivery, the later including water supply and sanitation as well as irrigation.",0.8991335088556464
  The World Bank Brazil: Pernambuco Rural Water and Sanitation Project (PROSAR) (P180430) with the Federal Government’s target of 203312.,0.6537446975708008
"16 Pernambuco RWSS management model study, State of Pernambuco, 2018.",0.5487651391462847
"19 Pernambuco RWSS management model study, State of Pernambuco, 2018.",0.45978884263472125
Securing a water source in a context of climate change-exacerbated droughts and water scarcity is one of the two main challenges to reach universal RWSS access in Pernambuco.,0.8252149061723189
The second main challenge to reach universal access is to set-up sustainable management models for service delivery.,0.8705306486649946
"New RWSS systems are frequently abandoned by the local communities they are supposed to serve (known as self-supplied), sometimes because the technology is too complex, but mostly because of the lack of prolonged technical assistance to the rural community in charge of its O&M and insufficient tariff payment.",0.5012930089777167
"This situation may lead to increased conflicts over water use and migration as well as further investment needs to reach universal access, as alternative, more costly water supplies must be tapped.",0.586360671303489
"Finally, while limited to the southern coastal region (Mata Sul) and a very small share of the Project area, the expected future increases in floods intensity and frequency highlight the need to increase the overall resilience of RWSS systems to such events through better design and contingency plans.",0.8631661155007102
"To address the challenge of securing water source for drinking supply , the State and Federal Governments have been deploying significant efforts to develop hydraulic infrastructure, including dams, transfers from the São Francisco River (PISF)25, wells in sedimentary aquifers less subject to climate variability, bulk water networks of canals and pipelines crisscrossing the State and small desalinization plants to tap low productivity, brackish aquifers for small rural communities.",0.9311505230990323
"On-going financed activities include: (i) developing the complementary state-level infrastructure to the PISF to reach the end users, notably for RWS and (ii) setting-up the financing and management model for sustainable O&M of 22 Trata Brazil.",0.894736029885032
"23 State Water Resources Plan - Plano Estadual de Recursos Hídricos de Pernambuco, 2022 .",0.6418996290727095
"25 The water transfer from the São Francisco River to four Northeastern States, known as Projeto de Integração do Rio São Francisco – PISF is a Federal Government project, which aims to secure water sources for WS and to promote the development of the driest areas of the states of Pernambuco, Ceará, Paraíba and Rio Grande do Norte.",0.836369514465332
"The project transfers water from the São Francisco River through two main axes, with a total of 477km of canals, 04 tunnels, 14 aqueducts, 9 Pumping Stations and 27 reservoirs: North Axis has 260 km of extension, and East Axis 217 km of extension.",0.8941918286410245
  The World Bank Brazil: Pernambuco Rural Water and Sanitation Project (PROSAR) (P180430) the PISF infrastructure at federal and state levels.,0.810281059958718
"Beyond hydraulic infrastructure, securing water quantity and quality for rural water requires improving the management of water resources, including better knowledge of the sedimentary aquifers capacity, better water monitoring of the rural water sources, better control of water uses in those sources notably through water rights administration and negotiated allocation, developing and implementing drought preparedness and contingency plans for rural water, activities that will be supported by the Project to secure the water sources of its RWSS systems.",0.9506806460293856
"To address flood risks in the south coastal area, the State is building four dams to contain floodwaters and has a hydrometeorogical system managed by APAC that issue flood alerts.",0.8715362548828125
"To address the challenge of setting-up sustainable management models, the State Government, with support from two IBRD-financed and completed projects (Pernambuco Sustainable Water–PSH (P108654) and the Pernambuco Rural Economic Inclusion Project–PRS or Prorural (P120139)), created a RWS information system with incentives for rural communities to self-register (7,000 communities have registered) and developed a strategy that defines the institutional framework to reach rural universal access26.",0.627805623141202
Water Resources Management.,0.8739179264415394
