seq,ecological domination
This was exacerbated by high energy prices and global supply shocks.,0.9097353328358043
"Climate models project an increase in frequency of climate change-exacerbated floods (potentially damaging and life-threatening) and drought hazard levels.4 For example, rainfall data for Central Chile show deficits of 80-90 percent for the year 2019,5 indicative of dire water availability challenges.",0.8344430056485262
"As recently reported by the National disaster prevention and response service (Servicio Nacional de Prevención y Respuesta ante Desastres, SENAPRED) during June and August, 2023, central southern Chile was inundated with floods that resulted in a “State of Catastrophe” declaration as it was the second major flood in 8 weeks.6 Moreover, the country faced devastating wildfires in February 2024, which further exacerbated the vulnerability of the population and the economy, particularly affecting rural and indigenous communities where women play a central role in agriculture and family sustenance.",0.8935584154996005
"Current patterns reveal a consistent growth in the urban indigenous population, with 88 percent of indigenous individuals residing in urban areas, in contrast to 12.2 percent living in rural regions.",0.8314983194524591
"From the central metropolitan region to the north, water availability per capita7 is at a mere 800m3 per year.",0.5034787871620872
"With all surface water resources already allocated, semi-arid regions like Coquimbo face frequent water conflicts and the constant threat of groundwater overexploitation.",0.7813812602650035
"Between the O’Higgins and La Araucanía regions, water availability improves, but deficits can still occur during dry years.",0.8718409104780718
"From the Los Rios region to the southernmost point, water is abundant, but demand is low.",0.8680425123734907
Climate change projections indicate a high probability of reduced rainfall in the central regions.,0.8559766249223189
The water resources management system has been struggling to manage these growing conflicts and adapt to the changing climate conditions.,0.8231041648171165
"Traditionally, the allocation of water resources has been done through a water market system (introduced in 1981 with the enactment of the Water Code).",0.8689225803722035
This approach successfully encouraged water- related investments and improved water use efficiency.,0.8703650561246005
"However, it also gave rise to some water management issues, such as the need to reconcile economic incentives with the protection of the public interest and to balance the role of the State and the private sector in managing a resource that is crucial for sustainable development (World Bank, 2011).",0.8937469829212535
"Despite undergoing reforms in 2005, 2018, and 2022, water management still requires further strengthening to better cope with growing water resource demand and water extremes, including both floods and droughts (See Technical Assessment Report).",0.8883838653564453
"Traditionally, decisions on water investment and allocation have been driven by market incentives, often prioritizing short-term economic gains at the expense of long-term sustainability (World Bank, 2012).",0.7985019683837891
"At the river basin level, planning weaknesses (See Technical Assessment Report) make it difficult to develop sustainable water services, impacting the reliability of these services under future climate conditions and the integration of different investment projects.",0.8943369605324485
"Water supply and sanitation: Chile has achieved close to universal access to safe drinking water8 (99.9 percent of the population) and sanitation (96.7 percent) in urban areas with a rate of wastewater treatment of 99.9 percent, making it one of the most advanced countries in the region on this front, along with Uruguay.",0.8763121691617098
"Water contamination from surface run-off and floods can result in negative public health outcomes for residents, thus creating a climate-linked challenge.",0.8729172619906339
"Rural Drinking Water Committees (Comités de Agua Potable Rural, APRs), responsible for the provision of these services, frequently face difficulties in maintaining and expanding services particularly to dispersed rural areas, due to limited financial resources, technical expertise, and governance capacities.",0.8933934298428622
"To bridge the water service gap in water scarce areas, the GoC has turned to costly solutions such as water trucks.",0.8203466588800604
"Between 2010 and 2016, the State spent US$ 130 million on renting water trucks to supply 400,000 people.",0.85959547216242
"7 Water availability per capita refers to the amount of water resources, typically measured in cubic meters, that is available per person within a specific region or county, and it is one of the most fundamental water-scarcity indicators in the global water resources management agenda.",0.8703214471990411
"8 Urban WSS utilities in Chile are regulated by the Superintendence of Sanitary Services (Superintendencia de Servicios Sanitarios, SISS).",0.786407470703125
"SISS ensures access to drinking water in quality, quantity and continuity, as well as sanitation as established in the regulations, at a fair and sustainable price, seeking efficient use, caring for the environment, cooperating with the governance of water resources, and promoting transparency in the market.",0.8991846604780718
"  The World Bank Chile's Water Transition (P179117) b. Irrigation: Chile has made significant progress in improving the efficiency of water use in agriculture, particularly through the adoption of modern irrigation methods such as drip and microjet systems.",0.8815302415327593
"The amount of land using these methods has increased from 93,000 hectares in 1997 to approximately 900,000 hectares today (almost 50 percent of the total productive land).9 This shift to modern irrigation has been supported by the Government and has allowed for an increase in land dedicated to high-value crops such as fruit trees and vineyards.",0.9824945276433771
"It is important to note that approximately 57 percent of the irrigation systems in the country are inefficient.10 Irrigation projects frequently become isolated solutions, lacking assessments of climate risks and their impact across the basin.",0.01718585870482705
"Therefore, integrated water resource management within watersheds is essential to promote sustainable irrigation practices and prevent resource overexploitation, while continuing to incorporate climate resilience into irrigation projects to better adapt to ongoing climate change-exacerbated water scarcity and rainfall deficits (See Technical Assessment Report).",0.9536118073896929
Ensuring irrigation resilience to climate change is vital for social equity.,0.8613818775523793
c. Flood and landslide risk management: Climate change also contributes to the occurrence of floods and landslides.,0.8589635328813032
Traditional flood control infrastructures have been the GoC’s response.,0.8596039685336027
"However, with urban sprawl and increasing demand for green and recreational areas, there is a growing need to integrate these solutions with natural solutions that can improve livelihoods and promote biodiversity conservation.",0.8790816393765536
These water security challenges will require improving the capacity and coordination of Government institutions working in water.,0.8588823838667436
"In Chile, the Ministry of Public Works (Ministerio de Obras Públicas, MOP) is responsible for water resources management and for the provision of rural water supply and sanitation (WSS) services, irrigation infrastructure (with the Ministry of Agriculture, MINAGRI), and flood protection by maintaining, rehabilitating, and developing public infrastructure services and water resources.",0.8595486554232511
"DGA is responsible for water use planning, management, and allocation.",0.8720898194746538
"DOH is tasked with planning, design, and construction of hydraulic infrastructure, including dams, canals, and irrigation systems.",0.8133996616710316
"Within the DOH, the Sub-Directorate of Rural Water Supply and Sanitation Services (Subdirección de Servicios Sanitarios Rurales, SSR) is responsible for infrastructure development as well as for the provision of technical support to rural water supply providers.",0.8598038066517223
"Additionally, the Ministry of the Environment (MMA) is responsible for water quality monitoring and 9 Ministerio de Agricultura.",0.8574273369529031
   The World Bank Chile's Water Transition (P179117) climate change adaptation policies.,0.8580067374489524
Both Ministries and their corresponding units have been working to keep pace with the above-mentioned challenges in water resources management and water service provision.,0.8657341003417969
Recent reforms have tasked the DGA with growing responsibilities in the management of water resources.,0.8781748684969816
"In 1981, the water code assigned to the DGA the responsibility to regulate and oversee water resource allocation, use, and conservation, including the management of water use rights, infrastructure, regulation enforcements, and data collection.",0.8702621459960938
"The 2018 reform granted the DGA the power to regulate and revoke usage rights, and to establish a system for immediate data transmission from water control and measurement devices.12 The 2022 reform13 strengthened the DGA’s role, focusing on human consumption, environmental protection, and sustainable management.",0.8673171130093661
"The DGA can now terminate unused water rights,14 impose ecological flows,15,16 and reduce extractions for source sustainability,17 prioritizing human consumption.",0.8601746992631392
"Additionally, the DGA manages water resources and monitors aquifers, but resource limitations and data gaps hinder effective oversight.",0.864448373967951
These increased responsibilities require more staff and enhanced technical capacity in order to promote a better coordination and data sharing for informed water management strategies.,0.8513666499744762
"Similarly, in 2017 Chile’s rural water service provision model transferred responsibilities for rural water supply to the DOH.",0.8508143858476118
"The Law N°20,998 (Ley de Servicios Sanitarios Rurales), adopted in January 2017 and regulated in 2019, dictates that the DOH and its SSR are responsible for the provision of technical support to rural water supply providers, including the registration of rural WSS service providers, the creation of a single rural WSS investment unit (Ventanilla Única), and the design and implementation of a rural WSS Information system.",0.7952268773859198
"Under this Law, the SSR is now responsible for both rural water and sanitation18 and for providing technical assistance and training to rural water service providers, which was previously handled by urban water utilities through an ""agreement"" with DOH.",0.8642297224564985
To fulfill this new mandate DOH has been slowly increasing its staff but will still need to develop strong technical capacities.,0.7101506753401323
"Finally, the GoC has tasked the MMA to play a more prominent role in the management of water resources and contribute to a multisectoral perspective on water management.",0.8668222427368164
"Chile’s MMA has traditionally played a role in the water sector by developing and enforcing environmental regulations (mostly for water quality), conducting environmental impact assessments for water projects, overseeing conservation efforts to protect water ecosystems, 12 Law N°21.064, which reforms the Water Code with the aim of strengthening the role of DGA; published on .",0.869411901994185
"13 Law N°21,435, which reforms the Water Code, was enacted into law by its publication in the Official Gazette on .",0.8095807162198153
"The DGA may require the installation of systems for measuring the flows extracted, the ecological flow referred to in Article 129 bis 1 and a system for transmitting the information obtained, in accordance with the rules established by the Service, to the holders of rights to use surface water or user organizations that extract water directly from natural channels for public use.",0.8701008883389559
"If the exploitation of groundwater causes a degradation of the aquifer or a part of it, to the point that it affects its sustainability, the DGA must limit the exercise of the rights of water use in the degraded area at the request of one or more affected parties.",0.8661752180619673
"The DOH's Subdirectorate of Water was responsible for implementing the Rural Drinking Water Program, with a mandate solely for water.",0.8712102716619318
"Licenses were renewable and granted for a set period to an organization for water rights, while community organizations (committees and cooperatives) managed and provided water services in concentrated and semi- concentrated areas.",0.41622456637295807
"Technical assistance was provided by water companies through ""agreements"" with regional governments for the design, construction, improvement, and expansion of infrastructure.",0.8627174550836737
"After the regulation of Law N°20.998, a specific legal framework was established for the integral provision of water, sanitation, and wastewater treatment services.",0.8839875134554777
The Subdirectorate of Rural Sanitation Services (SSR) was created within the DOH of the MOP with comprehensive responsibilities.,0.7046161564913663
  The World Bank Chile's Water Transition (P179117) and leading the national policy on climate change mitigation and adaptation.,0.6981421383944425
"Today, the GoC has requested a more prominent contribution from MMA in water related tasks to broaden a water infrastructure centric vision.",0.8754482269287109
"The GoC has designed a transformational US$ 1,872.3 million program which places water security as a top priority in the political agenda.",0.8672235662286932
"This program, known as the Just Water Transition (Transición Hidrica Justa, THJ) program, aims to tackle both institutional and infrastructure gaps, addressing both water resources management and water service provision challenges.",0.8731232556429777
"On the institutional side, the aim is to promote river basin governance centered on resilience, ecosystems, and integrated planning.",0.7571428472345526
"This will lay the ground for the improvement of a river basin governance structure (see Technical Assessment Report) and the development of planning instruments such as the River Basin Strategic Plans (Plan Estratégico de Recursos Hídrico en Cuencas, PERHC).",0.8532158244739879
"To begin this process, river basin working groups are being created.",0.865171259099787
The THJ program also works towards the improvement of water service provision through a renewed vision of water infrastructure development.,0.8676217686046254
"Closing infrastructure gaps includes continuing to close rural WSS access gaps, ensuring sustainable irrigation practices, and lowering risk of flooding.",0.8817669261585582
"To move the THJ agenda forward, the GoC has established a new inter-ministerial committee called the Committee for a Just Water Transition (Comité d Transición Hídrica Justa or THJ Committee).",0.862091758034446
"The THJ Committee’s mandate is to guide the transition to a more sustainable and equitable management of water resources in Chile, considering the needs and perspectives of all stakeholders.",0.8677669871937145
"The THJ program includes many new elements that are novel for Chile—including the creation of participatory water governance at basin level and the needed institutional and legal framework for adequate river basin management, the introduction of changes in the rural WSS service delivery scheme,19 and the introduction of Nature Based Solutions (NBS) in the traditionally grey hydraulic infrastructure portfolio.",0.8619254719127308
"The GoC’s objectives include climate change adaptation, sustainable resource management, and digital transformation.",0.3370845751328902
The GoC is deeply committed to achieving water security and ensuring access to water services for the entire population.,0.8682935021140359
"Chile has presented commitments during the UN Water Conference 2023 to advance global water security.20 These commitments include integrated water resource management (IWRM), water efficiency promotion, ecosystem restoration, and equitable access to drinking water and sanitation.",0.8588837710293856
"The Program aligns with the World Bank’s Country Partnership Framework (CPF) for Chile, FY2023-27.",0.8601244146173651
"It addresses CPF Objective 5 to enhance water security by improving rural water supply and sanitation, optimizing water allocation, conservation, and developing green and gray solutions for climate resilience.",0.7598304748535156
