seq,ecological domination
"The governmentâs sustained investment push, healthy corporate profits, Indiaâs strong macroeconomic fundamentals and a reduction in bank non-performing loans will support private investment.",0.6811150204051625
 Financing Indiaâs Urban Infrastructure Needs: Constraints to Commercial Financing and Prospects for Policy Action (English).,0.916839599609375
 The World Bank Tamil Nadu Climate Resilient Urban Development Program (P179189) responsible for about 50 percent of CO2 emissions country-wide.,0.8604570735584606
"As part of the intergovernmental fiscal framework, TN was the first state in the country to set up the State Finance Commission to put in place a structured mechanism to share taxes and grants with urban local bodies (ULBs).",0.7927716862071644
"It also set up, with the World Bankâs support, the Tamil Nadu Urban Development Fund (TNUDF) in the early 2000s, which aimed to not only scale up investments in the ULBs but also promote the overall urban governance reform agenda by empowering the ULBs to mobilize own resources, deliver services, and be more accountable to city residents.",0.5858350233598189
The TNUDF has supported over US$3.2 billion in urban investments while maintaining an outstanding track record of 100 percent loan repayments from the ULBs.,0.49756613644686615
"The Tamil Nadu Urban Infrastructure Financial Services Limited (TNUIFSL), which manages the TNUDF, has undertaken many pioneering transactions, including the first pooled finance municipal bond issued through the Water and Sanitation Pooled Fund (WSPF) managed by TNUIFSL, 11 which has become a model for other Indian states.",0.8835756995461204
Urban infrastructure investments in TN must be scaled up significantly over the next 15 years in order to meet unmet demands in terms of urban services delivery gaps.,0.768170790238814
Coverage of the water supply networks in municipal corporations and municipalities is on average about 50 percent.,0.6533128998496316
"To address gaps in basic services in transport, water supply and sanitation (WSS), and other sectors, the ULBs will require a significant scale-up in capital investments, estimated at US$2.8 billion 7 Mohanty, Abinash, and Shreya Wadhawan.",0.85523475300182
 The World Bank Tamil Nadu Climate Resilient Urban Development Program (P179189) annually between 2022 and 2036.,0.8586150082674894
"ULBs continue to face urban governance challenges, including an insufficient revenue base, and limited institutional capacity, as elaborated below: (a) Own source revenue (OSR) mobilization was 48.7 percent of total revenue in 2019â2020, down from 50.2 percent in 2015â2016 and below its potential.",0.6620607376098633
"To address this, in 2022, the Government of Tamil Nadu (GoTN) undertook a rate revision of property taxes for all the ULBs in the state.",0.8839360150423917
"Moreover, insufficient OSRs, coupled with weak technical capacities and high initial costs, make it difficult for smaller ULBs to tap into municipal bond issuance, which is another much-needed avenue for resource mobilization.",0.9205292788418856
13 (b) Institutional capacity would benefit from improved ULB human resource management to address matters such as high vacancy rates in ULB staffing as well as additional skill sets that need to be brought in.,0.8142740076238458
"While progress has been made, including having computerized and double-entry accounting systems at the ULBs, they are facing other challenges in public financial management, that is, public investments are not subject to climate-related assessments at the ULB level, there is limited systematic citizen consultation on spending, and budget execution is insufficiently monitored and disclosed.",0.8342377055775035
Many of the existing sewage treatment plants (STPs) are underutilized and suffer from poor operation and maintenance (O&M).,0.8481875332919034
Sewerage coverage in the 21 participating ULBs is only about 45 percent with an unutilized STP capacity of 160 MLD.,0.6527680483731356
"TN has made impressive progress in the regulation and promotion of on-site sanitation and the collection and management of fecal sludge; 14 however, systematic planning through a combination of sewerage and non-sewerage systems to ensure a citywide access to safely managed sanitation is missing.",0.8388907692649148
"Women traditionally carry most of the burden for collecting water from standpipes, tankers, and handpumps and managing 12 Data on service gaps and investment needs are from Next Generation of Urban Sector Interventions for ULBs in Tamil Nadu, June 2022.",0.294510234485973
"14 Notably, formally revised operating guidelines for septage management and established a memorandum of understanding and service-level agreement for shared facilities.",0.7640541250055487
 The World Bank Tamil Nadu Climate Resilient Urban Development Program (P179189) informal water storage due to intermittent supplies.,0.8729775168678977
"Most ULBs do not have dedicated WSS departments, 16 and their staffing levels and capacity are not enough to improve, operate, and maintain good quality water services; delivering water continuously (24 hours/7days) is a challenge state-wide.",0.8202604814009233
"Further, with an unmetered, erratic rationing water supply regime, many ULBs face high costs and low flat tariffs, which constrain their ability to recover O&M costs and/or limit their capacity to further invest in extended coverage and services quality.",0.8911482204090465
Concerted efforts are required at the city level to plan and coordinate interventions for addressing climate adaptation and mitigation.,0.32083413817665796
"ULBsâ current investment identification and prioritization processes do not consider climate and disaster risks, and urban service delivery suffers from limited contingency planning for various categories of risks.",0.8081906058571555
"Hence, there is an urgent need to strengthen the capacity of ULBs to incorporate climate change adaptation measures in urban planning, management, and service delivery, including dedicated water 15 Daily water collection can take up to 200 million hours worldwide.",0.882231972434304
"17 WSS tariff is set by the ULBs, then approved by the State, without a specific methodology or target.",0.8307476910677823
21  and figure 2 - Per Capital Availability of Water; Niti Ayog Sector Report 9A Water Resources.,0.6492449153553356
23 Table 8 - State-Wide Stage of Ground Water Development; Niti Ayog Sector Report 9A Water Resources.,0.6477726589549672
 The World Bank Tamil Nadu Climate Resilient Urban Development Program (P179189) security attention.,0.8521695570512251
"ULBs also have a large role to play in climate change mitigation by taking low-carbon pathways, such as improved energy efficiency and increased use of renewable energy in infrastructure investment and operation.",0.3976150859485973
"The GoTN has begun initiatives to address climate change, including the formation of the Tamil Nadu Green Climate Company to implement key flagship missions.",0.7433823672207919
"However, integrated planning at the city level to coordinate the climate investment needs of multiple sectors remains limited.",0.8044468272816051
"To address the fast-growing demand for urban services in a sustainable, climate-resilient, and resource-efficient manner, the GoTN, led by the Municipal Administration and Water Supply Department (MAWSD), has formulated Urban Vision 2031.",0.7257184982299805
"Urban Vision 2031 aims to achieve universal access to basic infrastructure and services in all ULBs, mainstream climate-resilient infrastructure design and urban development, and strengthen ULBsâ institutional capacity.",0.7424403103915128
"Investments guided by Urban Vision 2031 are leveraging funding from several national flagship urban programs, including the âAtal Mission for Rejuvenation and Urban Transformation 2.0â (AMRUT 2.0) and the âSwachh Bharat Mission Urban 2.0â (SBM Urban 2.0 or Clean India Program), and are underpinned by the stateâs firm commitment to deepen policy reforms in urban governance, planning, and financing.",0.7661191766912286
"The proposed Tamil Nadu Climate Resilient Urban Development Program (TNCRUDP) (the Program), a Program-for-Results (PforR) operation with an Investment Project Financing (IPF) component focusing on Technical Assistance (TA), will support implementation of the WSS and Urban Governance pillars of Urban Vision 2031 in 21 participating ULBs where there is high climate vulnerability and there are substantial gaps in WSS services, OSR, and institutional capacity.",0.8973664370450106
The operation is consistent with the World Bank Groupâs India Country Partnership Framework (CPF) FY18â22 that was discussed by the Board on  (Report 126667-IN) and extended to FY25 by the Performance and Learning Review.,0.3241509957747026
"The SCD identifies policies and actions to make cities more productive and livable, including reducing their environmental impacts and strengthening city finances and public sector management.",0.04062939232045954
"The Program directly contributes to these areas as it supports making ULBs more livable and productive, by investing in urban governance, climate resilience, and WSS.",0.5570321516557173
"The operation is consistent with the countryâs Nationally Determined Contribution (NDC), Indiaâs Long-Term Low-Carbon Development Strategy (2022), and the National Action Plan on Climate Change (NAPCC) (2021).",0.5932080528952859
"In the latest NDC submitted to the United Nations Framework Convention on Climate Change, India has committed to reducing the emission intensity of its GDP by 45 percent by 2030 from the 2005 level and creating an additional carbon sink of 2.5â3.0 billion tons of CO2 equivalent through additional forest and tree cover by 2030.",0.799165899103338
"26 The Program contributes to Indiaâs climate change agenda through Results Area 1 (RA1), which will enhance ULBsâ capacity in preparing local climate change action plans and invest in climate-resilient urban development by improving the energy efficiency of municipal assets; 24 Gender and climate change adaptation in Tamil Nadu and Andhra Pradesh: A preliminary analysis.",0.5907139344648882
" âIndiaâs Updated First NDC under Paris Agreement (2021â2030).â  The World Bank Tamil Nadu Climate Resilient Urban Development Program (P179189) expanding green cover; and enhancing the resilience of both institutions and infrastructure to climate hazards such as extreme heat, floods, and sea level rise.",0.9532589478926226
"Climate change adaptation and mitigation benefits are expected in Results Area 2 (RA2) as well, which will increase access, modernize, and optimize WSS services, thereby reducing emissions and water stress and augmenting access to resilient services.",0.8068139336325906
"The operation provides the World Bank an opportunity to demonstrate a âresults-orientedâ approach and mainstream climate resilience in urban development by bringing together the World Bankâs expertise on urban institutional strengthening, governance, and water.",0.8614966652610085
"It also builds on the achievements and innovations from the Tamil Nadu Sustainable Urban Development Project (TNSUDP, P150395) and the Chennai City Partnership (P175221).",0.7826983711936257
The World Bank is currently supporting the Chennai City Partnership Program that provides a model of urban reforms and service improvements cutting across sectoral boundaries.,0.7917431918057528
"The proposed operation has a strong focus on system-wide institutional reforms on urban management, including improving municipal finance by increasing OSRs and issuing municipal bonds, and mainstreaming climate-resilient actions at the investment and institutional levels.",0.938282619823109
"Globally, the World Bank has a wide and diverse experience of supporting cities in strengthening their governance, financing, institutional, and service delivery systems, especially in Asia, Africa, and Latin America.",0.6472474878484552
"The PforR instrument will facilitate: (a) sharpening the focus on institutional strengthening, including scaling up the performance-based grant from three pilot ULBs under the TNSUDP and incentivizing innovative ways to access financing; (b) showcasing an integrated WSS framework to significantly improve coverage, quality, and efficiency of services; (c) incentivizing climate change to be mainstreamed as a cross-cutting theme in investments, service delivery, and institutions; (d) supporting the larger government program in optimizing their outcomes; and (e) using and strengthening existing government systems, building on the past and ongoing systems development and capacity-building efforts.",0.8370096033269708
"While an IPF modality with performance-based conditions could have supported larger and more complex investments, the PforR was considered appropriate given the need to incentivize reforms and improve and sustain service delivery and institutional changes.",0.7654606212269176
"The objectives of the program are aligned with Urban Vision 2031 and the Government of India (GoI) missions AMRUT and SBM, including (a) functional water tap connections to all households; (b) rejuvenation of water bodies and wells and recycling and reuse of treated used water; (c) rainwater harvesting; (d) scientific management of wastewater and having all used water, including fecal sludge, safely contained, transported, processed, and disposed; and (e) creation of green spaces.",0.8523517955433239
"It focuses on (a) building ULB institutional and stakeholder capacity for better governance and service delivery, including through revised municipal staffing, and promoting water conservation and efficiency through information, education, and communication (IEC) activities; (b) enhancing the revenue base for ULBs through  The World Bank Tamil Nadu Climate Resilient Urban Development Program (P179189) policy measures and the use of GIS; (c) using advanced, smart technologies to transform urban service delivery; and (d) promoting ULBsâ use of âe-governanceâ and social platforms to enhance ULB institutional capacities as well as citizen awareness and stakeholder engagement.",0.9470022374933417
The proposed Program will focus on two mutually reinforcing RAs: institutional strengthening on urban management and improvement in WSS service delivery and ensuring that climate resilience is considered in each area.,0.8494664972478693
"The urban management RA will focus on strengthening the ULBsâ human resource, financial, and planning systems; enhancing municipal finance through mobilization of OSR and issuance of municipal bonds; improving transparency and accountability; and promoting an integrative vision and planning for resilient urban development.",0.8321680589155718
"The service delivery improvement RA will focus on improving access, quality, efficiency, and resilience of WSS services to rising climate risks, particularly extreme heat, droughts, and floods; enhancing energy efficiency in municipal assets; and expanding green cover to mitigate urban heat island effects.",0.9136186079545454
"Selection of the ULBs was based on WSS service provision gaps, vulnerability to climate change impacts, a need for capacity support (especially for the ULBs that were recently upgraded as municipalities), the GoTNâs overall financing strategy, and exclusions applicable under World Bank PforR policies.",0.8664336638017134
"The World Bank Program is proposed as US$809.62 million, covering 37 percent of the overall government program.",0.6170345653187145
The World Bank (IBRD) will finance US$279 million (or 34 percent) of the Program.,0.8769685571843927
"The World Bank operation includes an IPF-TA component for US$30 million, which is funded by US$20.25 million from IBRD and US$9.75 million from the GoTN.",0.8905664790760387
"Government program and the Program Government program PforR Program Objective To provide a clean and green environment, quality basic To strengthen urban management and improve amenities, and vibrant public spaces; induce economic access to efficient and climate resilient urban WSS growth; and generate employment and mitigate poverty services in participating ULBs in TN Duration 2024â2030 2024â2030 Geographic 158 municipal corporations and municipalities 21 municipal corporations and municipalities in coverage the state, excluding Chennai which is being supported by other operations Focus areas Covering urban governance, WSS, and broad Focusing on urban governance, WSS, energy environmental improvement including restoration of efficiency for municipal assets and green spaces water bodies and green spaces Overall US$2.18 billion US$809.62 million Financing 22.",0.42767650430852716
"The Program recognizes that universal, climate-resilient, and efficient service delivery faces constraints at two levels: (a) individual services are delivered with a focus on infrastructure construction, with a limited quality and sustainability orientation, and (b) the overall municipal administration system faces cross-cutting capacity, financing, and policy constraints, including weak orientation toward climate resilience.",0.5121457360007546
"31 Budgeted revenue includes OSR (tax and non-tax), assigned revenue, and grants.",0.21390858563509854
" The World Bank Tamil Nadu Climate Resilient Urban Development Program (P179189) in a single sector will have limited impact in a context of weak policies, staffing, processes, and financial capacity to maintain services.",0.9053212946111505
"Similarly, enhancing the climate agenda that increases resilience of institutions, infrastructure, and beneficiaries against the rising threat of extreme temperatures, droughts and floods in the project area requires multisectoral climate assessment and action planning.",0.8419896906072443
"RA1 is transversal in nature, and the funds received by the ULBs on achieving the required institutional actions can support green- and climate-related investments based on their specific need, including WSS services under RA2.",0.8603042255748402
"Investments and implementation of service reforms under RA2 will also contribute to achieving targets under RA1, such as increase in OSR through increased WSS revenues.",0.7618494033813477
"RA1: Strengthening Urban Management, Institutional Framework and Climate Resilience 24.",0.5808452259410511
"Under RA1, funding will be allocated to the ULBs based on their improved institutional performance.",0.7992586656050249
"The following aspects are incentivized: (a) staffing and human resource management; (b) capital expenditure and asset management; (c) transparency and timeliness in budget management; (d) mobilization of OSR; (e) adoption and implementation of comprehensive CCAPs, including cross-sectoral CCAP and four WSS subplans on water security and emergency preparedness and response, citywide inclusive sanitation (CWIS), WSS business planning, and stormwater drainage; and (f) citizen engagement and user-centric service delivery.",0.9359650178389116
"To create an enabling environment for the ULBs to achieve these institutional reforms, a set of actions will also be required at the state level to establish institutional frameworks to (a) strengthen public investment management; (b) improve planning and capacity with respect to local capital expenditure, and (c) prepare and publish an annual performance benchmark report on governance and service delivery at the ULBs.",0.9322321631691672
RA1 also supports cities in accessing private capital.,0.13003744862296365
The proceeds from this pooled financing were provided as loans to the ULBs for carrying out infrastructure projects.,0.9039111570878462
"All bond service payments were promptly made during FY21/22, demonstrating a strong commitment to timely and responsible financial management (FM).",0.7788849743929777
"However, the use of this mechanism had been stalled in the last few years due to regulatory constraints 32 that have recently been eased by the Securities and Exchange Board of India (SEBI).",0.734560099515048
"Despite having been a priority agenda for the GoTN in the last two decades, WSS investments focused mainly on asset creation with a fragmented and âone size fits allâ approach, 33 not being translated into universal, quality, and efficient service delivery.",0.45654322884299536
