seq,ecological domination
"This was supported by a successful vaccination campaign, a series of measures adopted to respond to the multifaceted nature of the shock, an extraordinary agricultural season, solid manufacturing and agro-industrial export, supportive counter-cyclical fiscal and monetary measures, and an unprecedented level of remittances.",0.8379605900157582
"In response to the drought, in 2022 the Government of Morocco (GoM) adopted a US$1 billion emergency recovery package for farmers, including agricultural insurance and rescheduling debt mechanisms.",0.8210921721024946
Morocco’s New Development Model (NDM) presents a new vision for the country’s development.6 The structural reforms launched two decades ago gave way to a sustained period of economic growth and poverty reduction that is unparalleled in the country’s contemporary history.,0.1272366155277599
 The World Bank Morocco Water Security and Resilience Program (P179192) This goal would require (a) sustaining an average annual growth rate of almost 7 percent for the next 12 years; (b) prioritizing actions to foster structural transformation and rebalancing investments to leverage more private sector investment; (c) unlocking bottlenecks that prevent women and youth from entering the labor force; and; (d) raising the levels of human capital through better education and health services.,0.6909587166526101
"Building a sustainable Morocco will require preserving natural resources, enhancing the resilience to climate change, and safeguarding water resources through more efficient use and management of its scarcity.",0.6009733026677911
"Highlighting the challenges that Morocco faces in terms of the water structural deficit in his speech to the opening of the Parliament on , 8 and subsequent -meetings on the National Program for Potable Water Supply and Irrigation (Programme National pour l’Approvisionnement en Eau Potable et l’Irrigation; PNAEPI) 2020-2027, His Majesty King Mohammed VI emphasized the need to continue the policy of building additional storage, the development of water transfers for inter-basin solidarity and the construction of seawater desalination plants and recognized the need to implement policies to improve water use efficiency- especially in irrigation.",0.7339715957641602
"In his speech, His Majesty King Mohammed VI outlined four main guiding principles for water resources management in the context of increasing water deficits: (a) launching more ambitious programs and initiatives, and leveraging modern technology, particularly for water savings and wastewater reuse; (b) improving the rational exploitation and preservation of groundwater resources, in particular by curtailing illegal pumping and well digging; (c) fostering cross-sectoral coordination and updating sectoral strategies on a continuous basis, in light of their pressure on water resources and the need to build a water secured Morocco; and, (d) considering the real cost of water, accounting for each stage of the water mobilization process, and promoting transparency and awareness about all the drivers of cost of water.",0.9174574938687411
"The 2021 NDC’s financing requirements amount to US$78.8 billion for the 2020-2030 period (i.e.an average of around US$7.2 billion per year or about 5.2 percent of 2022 GDP), with more than half targeted toward adaptation measures.",0.8076516064730558
"According to the Country Climate and Development Report for Morocco (CCDR),12 the greatest potential for putting Morocco on a climate-resilient and low-carbon pathway lies in (a) tackling water scarcity and droughts, notably through the nexus of water and agriculture; (b) enhancing resilience to floods to preserve urban and coastal economies and livelihoods; and (c) decarbonizing the economy for a zero-net emission pathway by the 2050s.",0.05520943078127774
"The CCDR highlights the need for improved inter-institutional coordination13 and mainstreaming climate actions into economic, fiscal, and financial policies.",0.8517423109574751
13 A rapid Climate Change Institutional Assessment (CCIA) was conducted as part of the preparation of the CCDR.,0.6409714872186835
 The World Bank Morocco Water Security and Resilience Program (P179192) B.,0.5121838829734109
"The water deficit between supply and demand in 2020 was estimated at 1.8 billion cubic meters (BCM) per year, with demand expected to increase by 15 percent between 2020 and 2050.14 Water security challenges are compounded by the unequal distribution of water over space and time, with most of the surface water resources concentrated in the northwest of the country.15 Surface water shortages have led to the over- exploitation of groundwater resources, which are being abstracted faster than they are being replenished.",0.8590993014248934
"Water shortages are further aggravated by the loss of existing storage due to high dam sedimentation rates,17 water pollution, and saline intrusion in the coastal regions.",0.8580778295343573
"Hotter and drier conditions are also expected to increase demand, with crop water requirements predicted to increase by up to 12 percent, increasing demand for irrigation and placing further demands on limited water resources.",0.9223728179931641
"These changes in supply and demand could result in a deficit of between 4 to 7 BCM per year by 2050.19 Such constraints could significantly affect the Moroccan economy,20 with water scarcity exacerbating competition among water users and potential causing a 6.5 percent decline in real GDP under extreme conditions.21 8.",0.3145983869379217
"To address the country’s water challenges, the GoM is implementing comprehensive large-scale water sector investment programs.",0.9112096266313032
