seq,ecological domination
"  The World Bank Irrigation for Climate Resilient Agriculture (P179037) vulnerabilities consist primarily of flooding and, to a smaller extent, reduced water availability and erosion.",0.8045017936012961
"Irrigation is a key driver of economic growth as it improves agricultural production, strengthens rural development, and increases resilience to climate change by bridging the gap between crop water requirements and precipitation.",0.8807619268243964
"Even though irrigated land represents only 36 percent (2.6 million hectares) of all agricultural land, approximately two-thirds of the country's agricultural output15 is produced on irrigated land.",0.7644494663585316
"Moreover, irrigation could increase the country’s GDP by 0.8 percent per year through agricultural productivity gains (World Bank, 2022).",0.8593448292125355
"However, irrigation systems in Peru face a variety of challenges – low overall agricultural water use efficiency (WUE)16 – at only 30 percent,17 vulnerability of small-scale farmers, and low support capacity of local governments.18 The low levels of WUE in irrigation systems are, in large part, due to the deteriorating condition of approximately 57 percent of Peru's existing irrigation infrastructure.",0.858258767561479
"Limited use of efficient on-farm irrigation technologies is also contributing to low water productivity, as they are not yet widely available or used throughout the country.",0.8161289908669211
"More efficient on-farm irrigation systems19 enable farmers to use less water for their crops, thereby improving the overall irrigation performance, increasing agricultural water efficiency, and boosting agricultural productivity .",0.9765466343272816
"15 Agricultural output is defined as the total value of crops produced in economic terms, although it has also been used to denote (physical) crop yields.",0.8855127854780718
16 Water use efficiency (WUE) is defined as the ratio between the volume of water used for irrigation and the volume extracted or derived from a water source for that purpose.,0.870263012972745
"It can be divided into storage, conveyance, distribution, and application efficiencies.",0.8746513019908558
"4-A, Gap Indicator ""Percentage of agricultural land without technified irrigation"", approved by Ministerial Resolution 0374-2021- MIDAGRI.",0.8833690990101207
19 On-farm irrigation systems include drip or sprinkler systems.,0.7914622913707386
"In sprinkler systems, water is led to a field through a pipe system under pressure, and artificial rainfall is created to water the crops.",0.8702451532537286
  The World Bank Irrigation for Climate Resilient Agriculture (P179037) water in the volumes required).,0.8751903013749556
"Efficiency is also commonly improved through sustainable on-farm agronomic practices20 that focus on soil moisture conservation, thereby reducing the need for irrigation water supply to fields.",0.8724734566428445
"Although subnational governments are the main financiers and implementers of irrigation investments, representing roughly 80 percent of the total budget for irrigation, these investments have not translated into significant improvements in irrigated area coverage or efficiency.",0.8684673309326172
"On average, only 60 percent of irrigation investments were fully executed, with efficient irrigation systems installed in only about 1 percent.",0.8737277984619141
Irrigation investments are often made without considering the broader hydrological and hydrogeological context.,0.3959971341219815
"This leading to water deficits in many basins and, hence, intense competition for water resources among water users.",0.8636965318159624
Many irrigation systems have been established without detailed knowledge about water supply or demand in the respective watersheds.,0.8072303425181996
"As a result, the Government of Peru (GoP) prioritized the rollout of efficient irrigation interventions as part of its development agenda, given the direct impact of irrigation on reducing poverty and enhancing food security for Peru's poorest in rural areas.",0.9079517017711293
Public sector financing is required as the targeted beneficiaries have limited capacity to access efficient irrigation infrastructure and technology given their high capital cost and relatively low revenue from farmers’ existing production.,0.8520428050648082
"Accompanying sustainable agronomic practices are also expected increase the efficiency of water use by maintaining soil health and conserving its moisture, thereby leading to improved productivity and resilience to shocks.",0.9373962228948419
"Technical Assistance (TA) and training are necessary for ensuring the positive impact of technological adoption and technical sustainability of irrigation systems through their improved management, given the general lack of TA and training services for farmers in Peru22 – reaching 11 percent of the total agricultural producers nationwide and 5 percent of small- and medium-sized farmers.23 The Sierra Irrigation Subsector Project (P104760), which extended access to TA, training, and efficient irrigation systems to farmers in the Sierra regions, demonstrated the effectiveness of such investments on poverty reduction for rural populations in areas implemented.",0.9941962849010121
"Farmers can incorporate specific practices to manage crops, improve soil quality, enhance water usage, and improve the surrounding environment by focusing on the conservation and regeneration of water and soil resources.",0.8656238209117543
"22 Reduced performance of technified irrigation infrastructure generally occurs due to a lack of sufficient training and TA for those who manage, operate, and maintain the schemes.",0.8889862407337535
"  The World Bank Irrigation for Climate Resilient Agriculture (P179037) in how water is used, saved, and managed, 25 they are generally excluded in the decision-making processes related to irrigation management and represent, in general, a small fraction of the water users.",0.8741938851096414
"The Ministry of Agricultural Development and Irrigation’s (Ministerio de Desarrollo Agrario y Riego [MIDAGRI]) Sub-sectoral Irrigation Program (Programa Subsectorial de Irrigaciones [PSI]), serves as the irrigation subsector’s executing body at the national level.",0.8742781552401456
The PSI’s objective is to improve agricultural water productivity by: (i) expanding the use of efficient irrigation technologies and on-farm practices to promote the efficient and sustainable use of water for irrigation; (ii) supporting the development and strengthening of the management capacity of WUOs and of Farmer Groups (FGs) in irrigation hydraulic blocks.,0.923779921098189
Regional and Local Governments (‘Gobiernos Regionales’ and ‘Gobiernos Locales’) are responsible for planning and promoting irrigation development33 within their jurisdictions and managing both self and externally financed program resources.,0.9247146953235973
These subnational (regional and local) governments apply relevant standards and policies to the design and implement sector investments.,0.9203908226706765
"Regional governments, specifically, are responsible for providing support to both local governments and irrigation service providers.",0.8616473458030007
"The National Water Authority (Autoridad Nacional del Agua [ANA]) oversees improvement of water resource management across the country and operates through its decentralized agencies.34,35 This includes a deficiency in accounting for both upstream and downstream users of water, particularly those impacted by irrigation investments and 25 De Nys, E., Hidrogo, C., Lajaunie, M., Chinarro, L. 2013.",0.9274288524280895
"33 Examples of irrigation development include those that fall under the concept of “technified Irrigation” ( riego tecnificado), which, as defined by Law No.",0.9358407800847833
"28585, seeks to promote “irrigation systems that allow the rational and efficient use of water to increase agricultural productivity”.",0.9229463230479847
"34 Technical support is provided through ANA via its 3 types of decentralized agencies (órganos desconcentrados): Administrative Water Authorities ( Autoridad Administrativa del Agua, AAA), Local Water Authorities (Autoridad Local del Agua, ALA), and Water Resources Basin Councils (Consejo de Recursos Hídricos de la Cuenca, CRHC).",0.8579809015447443
"However, these also lack the resources to provide support when and where needed, causing a lack of skills and technological solutions to improve water management among users.",0.8624073375355114
35 Relevant information and management capacity provided by ANA at the local level remains limited.,0.8739022341641512
The constraints related to irrigated agriculture pertain to lack specific information on the water balances of irrigation schemes or their impact on respective catchments.,0.8653448278253729
" 0 The World Bank Irrigation for Climate Resilient Agriculture (P179037) interventions, and water quality (e.g., polluted run-off water from fields).",0.8729067715731534
"Water Users Organizations (WUOs) are responsible for distributing water among users as well as the management, operation, and maintenance (MOM) of irrigation schemes and the collection and administration of water tariffs .",0.8756321993741122
"The term WUO describes three different types of hierarchically coordinated user organizations, namely (i) water user boards (junta de usuarios)36 that oversee (ii) water user commissions and (iii) water user committees.37 Users within each irrigation WUO share water and pool their financial, technical, material, and human resources for the MOM of water delivery systems under their control.38 21.",0.8854030262340199
WUOs have struggled to achieve operational efficiency as well as financial and technical autonomy.,0.8694838610562411
"Although responsible for the MOM of over 1.4 million ha of irrigated land and serving almost three quarters of a million users, WUOs lack sufficient technical capacity, specialized equipment, and reliable information on the availability and use of water resources (supply and demand) to improve their operational efficiency in their respective areas.39 WUOs also struggle to reach financial sustainability due to low water tariffs and collection rates.",0.8765883012251421
Farmer Groups (FGs) (Grupos de Gestión de Riego Tecnificado [GGRT]) manage sub-projects and comprise producers at the lower-level sections of a hydraulic block.,0.8686958659778942
FGs are responsible for the management of irrigated water from the water intake structure to the application of water on-farm and report to PSI.,0.8544445904818448
FGs were established for the purpose of managing ‘technified’ irrigation at each sub-project level to ensure that the water needs of each farmer are met and that their section of the block remains in good condition.,1.003434961492365
"After several years of discussion and planning, and a careful analysis of the above-mentioned challenges, the GoP decided to reinforce its engagement in modern irrigation water management and seek World Bank support in the form of the proposed Project, to assist them with investments in, and uptake of technified irrigation approaches.",0.8854010321877219
The Project also builds on the experiences from the World Bank–financed Sierra Irrigation Subsector Project (P104760).,0.8826161297884855
Farmers who participated in the Sierra Project reported 25 to 500 percent increases in net household income per hectare from improved water availability through advances in off-farm irrigation schemes and on-farm technology and agronomic practices used.,0.9018144607543945
"The Project is aligned with the following two policy actions: (i) promoting water security in agriculture through water storage solutions, water-efficient irrigation systems, and sustainable water management (considering social, productive, and environmental uses), while strengthening women´s status as agricultural producers; and (ii) strengthening environmental protection, disaster risk management, and climate change adaptation and mitigation.",0.7572207017378374
"The National Agricultural Policy (2021- 2030) that aims to improve competitive agricultural development by 36 percent by 2030, as attributed to a reduction of family farmers at subsistence level, and improved management of natural resources for sustainable agricultural production.",0.8509585640647195
The Project further responds to the MIDAGRI’s Multiannual Sector Strategic Plan (PESEM) 2015-2027 that has two objectives: (i) to manage natural resources and biological diversity within the competence of the agricultural sector in a sustainable manner 36 The 43 Water User Boards (JUs) oversee the 130 sub-projects that mostly correspond to a single commission or committee.,0.8704608570445668
"Thus, the total number of water user institutions involved in the proposed Project is 180.",0.8029284910722212
"37 User Committees (Comités de Usuarios) represent the base level of all WUOs, organized around lower levels of distribution structures of hydraulic blocks.",0.8295359178022905
"38 In accordance with Peru’s Water Resources Law, WUOs are civil associations whose purpose is the organized participation of wa ter users in the multisectoral management and sustainable use of water resources.",0.8674089258367365
"They operate under the auspices of Peru’s National Water Authority (Autori dad Nacional del Agua, ANA) – the highest technical and regulatory body for the management of water resources in the country.",0.869285756891424
"39 While PSI provides support to farmers who are members of WUOs, its budget program limits the adequate support and does not enable purveying the latest, sustainability-focused advances in irrigation interventions.",0.8557506908069957
" 1 The World Bank Irrigation for Climate Resilient Agriculture (P179037) and (ii) to increase agricultural competitiveness and market insertion, with emphasis on small agricultural producers.",0.9185407811945135
"The Project is also aligned with the Ministry of Agriculture’s (MIDAGRI) comprehensive national climate adaptation strategy for the agriculture sector, with measures related to building resilience and maintaining productivity, including investing in irrigation infrastructure and site-specific land-use planning to mitigate water scarcity.",0.9691179448908026
"The project is in-line with Peru's 2020 Nationally Determined Contribution (NDC) and 2021 National Adaptation Plan (NAP) for climate change mitigation and adaptation, identifying water as a priority sector for addressing climate change and limiting its impact.",0.8168225721879439
"The Project puts an emphasis on implementing energy- and water-efficient irrigation systems, increasing water storage, and strengthening water resources management.",0.8743034709583629
The Project is also aligned with the public investment recommendation of Peru’s Climate Country Diagnostic Report’s (CCDR) to improve access to efficient irrigation systems to build resilience in the agriculture sector and boost economic growth while protecting vulnerable populations.,0.8628843480890448
"Peru's CCDR also stresses the importance of adaptation to water-related shocks given the country’s significant spatial and temporal rainfall imbalances and uneven development patterns across its territory (World Bank, 2022).",0.8648829026655718
The Project is also aligned with the World Bank's mission of ending extreme poverty and boosting prosperity on a livable planet.,0.8669198643077504
"By promoting water use efficiency and developing improved irrigation infrastructure, the operation is expected to enhance agricultural productivity and increase farmer revenues in targeted areas with positive impacts on water and food security.",0.9122336994517933
"The proposed operation is also aligned with the WBG Country Partnership Framework for Peru FY23-FY27, discussed by the Board of Executive Directors on  (Report179046), specifically Objective 5: Enhance climate-change mitigation and adaptation under the High-Level Outcome 3: Increased resilience to shocks.",0.8609724911776456
"The Project is also closely aligned with the World Bank's strategic framework for moving ""From Crisis Response towards Green, Resilient, and Inclusive Development"" (GRID) – directly supporting its Pillar 4: ‘Strengthening Policies, Institutions, and Investments for Rebuilding Better,’ and the goal of the World Bank Group’s 2021-2025 Climate Change Action Plan of aligning climate and development goals while boosting growth.",0.5025099841031161
"Moreover, the Project complements the Bank's ongoing and pipeline programs to support sustainable and inclusive growth in Peru and builds on the Bank's longstanding policy dialogues in these areas.",0.29863340204412286
The Project development objective (PDO) is to improve the sustainability 40 and efficacy of water services for irrigation and the productivity of water on family farms in selected areas that are vulnerable to climate change.,0.929767521944913
The PDO level indicators are the following: PDO 1: Improve the sustainability and efficacy of water services for irrigation.,0.8733916716142134
1) Water User Organizations that increase operational efficiency in their hydraulic blocks by 10 percent41 (Percent).,0.8700426275079901
2) Regional Governments (GOREs) that have at least 500 hectares of ‘technified’ irrigation projects in their respective multiannual investment portfolios.,0.8717843836004083
"3) Average increase of the tariff collection rate of FGs participating in the Project to generate resources for an 40 For the purposes of the Project, sustainability encompasses technical, institutional, and financial dimensions as measured by PDO indicators 1 – 3.",0.8694275942715731
41 Operational efficiency evaluates the quality of the operation of the irrigation system between the intake of the water source and the input to the plots and is defined by the relationship between the water volumes distributed at the level of the users' properties or plots and the volumes extracted or derived from a given water source.,0.8941972905939276
 2 The World Bank Irrigation for Climate Resilient Agriculture (P179037) adequate operation and maintenance of their respective irrigation systems (Percent).,0.8788710507479581
PDO 2: Improve the productivity of water on family farms in selected areas that are vulnerable to climate change.,0.9090220711447976
5) Increase in agricultural water productivity on family farms in areas vulnerable to climate change42 (Percent).,0.8984296972101385
6) Increase in efficiency of application of irrigation water on-farm in areas with ’technified’ irrigation (Percent).,0.8664757121693004
