seq,pro-growth
Sustaining economic growth and macroeconomic balances has proven challenging in the face of a sequence of economic shocks.,0.6230316162109375
"During 2021-2022, the economy experienced a strong rebound, with gross domestic product (GDP) fully recovering to pre-pandemic levels.",0.7163381576538086
"Growth in 2022 reached 4.8 percent as private consumption, exports, and investment expanded despite increasing energy and food prices.",0.7560379721901633
"Growth is expected to be moderate in 2023, despite another year of exceptional increase in tourism.",0.6108166521245783
"Yet, sustaining the pace of reforms has been challenging and rising inflation could dim Albaniaâs growth prospects.",0.2095597874034535
"Through more green, resilient, and inclusive development, Albania can ensure that growth gains are sustainable.",0.10308834639462558
"The sector directly supported 20 percent of the total employment in 2021, 1 recording a direct contribution of US$3 billion, accounting for about 17.4 percent of GDP 2 with an annual growth rate of 10â15 percent.",0.7660694989291105
"3 The economic contribution of the tourism sector through indirect multiplier effects is estimated at US$3.4 billion, which represents 26.2 percent of the GDP.4 The economic impact of COVID-19 has underscored the need for Albania to rebalance its approach to tourism development, as part of a strategy to build back better.",0.8563818498091265
"Accession to the EU and its continued commitment to a Green Deal are strong incentives for the country to boost its reform agenda including better stewardship of natural resources, environmental protection, and addressing of climate change.",0.11677028916098854
Towards Sustainable Tourism in Albaniaâs Vjosa River Region: An Analysis of the Key Constraints and Opportunities to Create More and Better Jobs in the Region around Europeâs Last Wild River.,0.7169947624206543
"With its unique natural assets and cultural heritage, the South Coastal Belt has distinctive potential for high- value tourism as a driver of local, regional, and national economic growth.",0.6464043097062544
"A recent World Bank study estimated the economic loss in Albania due to marine litter in 2017 at â¬1.74 million to the fishing fleet, and in the range of â¬1.73â5.62 million for beach cleaning.",0.0920268405567516
Realizing the Blue Economy Potential in Albania.,0.04186985167590054
"16 Fiscal transfers from the central government to the municipalities often cover the gap, but as the system is modernized, higher cost recovery will be required for investment and higher operational expenses.",0.91634446924383
"While there is no plan for construction waste minimization, reuse, and recycling, the Government intends to develop a circular economy approach with regard to the sector.",0.24124672196128152
"Albania has developed a strong regulatory framework for water supply and sanitation (WSS) service delivery, but most WSS utilities are trapped in a downward spiral of low revenue and low levels of service delivery.",0.5735276395624335
"The financial viability of most WSS utilities is very low, in part due to politically driven low tariff levels, which limits the overall availability of sector funding sources to improve and expand WSS service delivery.",0.9005125219171698
More investments are needed to expand the sewage network and wastewater treatment to cover a higher share of the population and bridge the urban-rural divide.,0.9376798109574751
"Investing in NBS can help wastewater treatment operators lower their operational costs, access new revenue streams, increase customer engagement, and provide public environmental goods and services.",0.8772834431041371
"The focus on pollution reduction and prevention measures will include investments in grey and green infrastructure and in human capital for behavior change to address (a) improved and integrated management of municipal waste â including plastic waste â to move towards a more circular economy in the Vlora South-Gjirokaster Waste Zone and (b) water pollution from point sources, specifically untreated sewage, and NPSs such as sediment and runoffs from manure in the Vjosa River Basin (Map 4.1, annex 4).",0.8592931574041193
It will deliver integrated investments that meet key priorities set forth in the GoAâs development strategies.,0.8263436230746183
"These include Albaniaâs National Strategy for Development and Integration and its objectives of European integration and sustainable use of resources and territorial development; the National Strategy for Sustainable Tourism Development (2019â2023) and its strategic goal for developing Albania as a hospitable, attractive, and authentic destination for sustainable development of the countryâs economic, natural, and social potentials; Albania 2030 Integrated Cross-Sectoral Plan for the Coastal Belt presenting a vision for the sustainable development of the Albanian coast until 2030; the National Integrated Waste Management Plan 2020â2035, being the main strategic plan for waste management in Albania; the Albanian National Strategy of the Water Supply Sector and sewerage 2020-2030 and the Strategic Policy Document and the National Sectoral Plan for solid waste.",0.6356243220242587
"JMP WASH data, used in the State of the Sector Report 2018 Update, also show higher levels of piped water coverage for rural and urban areas (which includes self-supply), as well as higher levels of basic and safely managed sanitation (due to a large share of on-site flush toilets).",0.49339168721979315
23 Negotiations and Investment Planning Support proposal.,0.11916698109019887
0 The World Bank Clean and Resilient Environment for Blue Sea Project (P176163) productivity and sustainability of the Vjosa River region.,0.3421752452850342
The project is aligned with the WBG Country Partnership Framework (CPF) (FY23-27) 26 which includes âimproved competitiveness of key sectorsâ as CPF Objective 1.2 and âimproved provision of municipal servicesâ as CPF Objective 2.3.,0.6198107979514382
The project approach integrates EU policy objectives of these directives by overlaying its investment activities in the South-West Coastal Belt of Albania and achieve Albaniaâs aspirations for clean and green development.,0.874690749428489
The dual focus on investments in solid waste and sewage encompasses the foremost defense against pressures on water bodies and coastal landscape on which the local economy depends.,0.46156844225796784
"177135-AL, discussed by the Board of Executive Directors on  27 A New Circular Economy Action Plan: For a Cleaner and More Competitive Europe, .",0.2876964048905806
"The project applies an integrated approach to SWM investments, considering circular economy principles, and supports a system that is more environmentally, financially, and operationally sustainable.",0.7930034290660511
"This component will finance consulting services, non-consulting services, goods, and training.",0.7422115152532404
Subcomponent 1.2: Environmental-Performance Based Investments for local pollution prevention (EUR 9.44 million (USD 10.00 million equivalent)) 33.,0.3906730738553134
This subcomponent will finance the EPBIs to municipalities in the Vlora South-Gjirokaster Waste Zone for improved municipal waste management.,0.5217954028736461
